x,u
0.00000000,0.06080071
0.02040816,0.05280085
0.04081633,0.04533386
0.06122449,0.03846968
0.08163265,0.03225591
0.10204082,0.02671720
0.12244898,0.02185624
0.14285714,0.01765589
0.16326531,0.01408235
0.18367347,0.01108887
0.20408163,0.00861975
0.22448980,0.00661423
0.24489796,0.00500995
0.26530612,0.00374595
0.28571429,0.00276489
0.30612245,0.00201467
0.32653061,0.00144935
0.34693878,0.00102949
0.36734694,0.00072210
0.38775510,0.00050021
0.40816327,0.00034225
0.42857143,0.00023133
0.44897959,0.00015448
0.46938776,0.00010194
0.48979592,0.00006648
0.51020408,0.00004286
0.53061224,0.00002732
0.55102041,0.00001722
0.57142857,0.00001073
0.59183673,0.00000662
0.61224490,0.00000404
0.63265306,0.00000244
0.65306122,0.00000146
0.67346939,0.00000086
0.69387755,0.00000050
0.71428571,0.00000029
0.73469388,0.00000017
0.75510204,0.00000010
0.77551020,0.00000005
0.79591837,0.00000003
0.81632653,0.00000002
0.83673469,0.00000001
0.85714286,0.00000000
0.87755102,0.00000000
0.89795918,0.00000000
0.91836735,0.00000000
0.93877551,0.00000000
0.95918367,0.00000000
0.97959184,0.00000000
1.00000000,0.00000000
